feature,source_section,requirement_text,verification_objective,test_idea,coverage,priority
Write transaction,A8.5,Caching Shareable lines Table A8.13: Opcode alternatives Opcode BROADCASTSHAREABLE is LOW Write Unique Ptl Write No Snoop Write Unique Full Write No Snoop or Write No Snoop Full Write Back Full Write No Snoop or Write No Snoop Full Write Evict Full - (request must be dropped) CMO (Shareable) CMO (Non-shareable) Write Unique Ptl Stash Write No Snoop Write Unique Full Stash Write No Snoop or Write No Snoop Full Write Ptl CMO (Shareable) Write Ptl CMO (Non-shareable) Stash Once Shared (Shareable) Stash Once Shared (Non-shareable) Stash Once Unique (Shareable) Stash Once Unique (Non-shareable) Prefetch (Shareable) Prefetch (Non-shareable) Read Once Read No Snoop Read Shared Read No Snoop Read Clean Read No Snoop Read Once Clean Invalid Read No Snoop Read Once Make Invalid Read No Snoop ARM IHI 0022 Issue L Copyright © 2003-2025 Arm Limited or its affiliates.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A8.6,The PREFETCHED response to a read request indicates that the transaction has hit upon prefetched data.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A8.6,"• The ID value must be unique-in-flight, which means: – A Prefetch request can only be issued if there are no outstanding write transactions using the same AWID.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.6,– The Manager must not issue a request on the write channel with the same AWID as an outstanding Prefetch request.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.6,• The Manager may or may not follow a Prefetch request with a non-Prefetch request to the same address.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.6,• An OKAY response can be sent irrespective of whether the Subordinate acts on the Prefetch request.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.6,"• When Prefetch_Transaction is True, RRESP_WIDTH must be 3 to enable the signaling of the PREFETCHED response.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A8.6,• PREFETCHED indicates that read data is valid and has come from a prefetched source.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A8.6,• A PREFETCHED response can only be sent if the Prefetch_Transaction property is True for the interface.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.6,• A PREFETCHED response can be sent to a Manager even if the Manager has not sent a Prefetch request to that location.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,Cache Stashing A8.7 Cache Stashing Cache stashing enables one component to indicate that data should be placed in another cache in the system.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.7,Write Unique Ptl Stash Write to a Shareable location with an indication that the data should be allocated into a cache.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.7,Write Unique Full Stash Write a full cache line of data to a Shareable location with an indication that the data should be allocated into a cache.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.7,All write strobes must be asserted.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.7,Stash Once Shared A data-less transaction which indicates that a cache line should be fetched into a particular cache.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,Other copies of the line are not required to be invalidated.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,Stash Once Unique A data-less transaction which indicates that a cache line should be fetched into a particular cache.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,A Stash Once Unique transaction can cause the invalidation of a cached copy of a cache line and care must be taken to ensure that such transactions do not interfere with exclusive access sequences.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,The Stash Translation transaction is used to indicate to a System Memory Management Unit (SMMU) that a translation should be obtained for the address that is supplied with the Stash Translation transaction.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.7,"Table A8.15: Domain, Size, and Length constraints for stash requests Opcode AWSNOOP Domain Size, Length Write Unique Ptl Stash 0b1000 Shareable Cache size or smaller Write Unique Full Stash 0b1001 Shareable Cache line sized and Regular Stash Once Shared 0b1100 Non-shareable, Shareable Cache line sized and Regular Stash Once Unique 0b1101 Non-shareable, Shareable Cache line sized and Regular The following constraints also apply to all stash request Opcodes: • AWCACHE[1] is 0b1 (Modifiable) • AWLOCK is 0b0 (not exclusive access) • AWTAGOP is 0b00 (Invalid) • AWATOP is 0b000000 (Non-atomic operation) A8.7.3 Stash request Domain The Domain of a stash request determines which caches are checked for the cache line and how the line should be fetched and stored.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.7,Writes with stash must always be to a Shareable location.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.7,"• When AWSTASHNIDEN is LOW, AWSTASHNID is invalid and must be zero.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.7,"• When AWSTASHLPIDEN is LOW, AWSTASHLPID is invalid and must be zero.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.7,Stash Once transactions must not use the same AXI ID values that are used by non-Stash Once transactions on the write channels that are outstanding at the same time.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.8,The invalidation of the cache line is not required to have completed at this point.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.8,"However, it must be ensured that any later write transaction from any agent that starts after this point, is guaranteed not to be invalidated by this transaction.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.8,"• Deallocating transactions do not guarantee that a cache line will be cleaned or invalidated, so cannot be used to ensure that data is visible to all observers.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.9,"Invalidate Hint is not required to be executed for functional correctness, so can be terminated at any point in the system by responding with BRESP of OKAY.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.9,• Ensuring the use of the Invalidate Hint transaction is limited to address ranges that will not contain sensitive information.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.9,– AWSNOOP must be 5b wide if the Invalidate Hint_Transaction property is True.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.9,"• AWID is unique-in-flight, which means: – An Invalidate Hint request can only be issued if there are no outstanding transactions on the write channels using the same ID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.9,– A Manager must not issue a request on the write channels with the same ID as an outstanding Invalidate Hint transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.9,"– If present, AWIDUNQ must be asserted for an Invalidate Hint request.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.2,"If the component is a coherent interconnect and the CMO is Shareable, a CMO snoop must be sent to any cache that might have the line: • Allocated, for an Invalidate CMO.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.2,It is recommended that Write-Through No-Allocate is used for writes to memory which will be followed by a CMO to the same line.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.2,"If the CMO does need to be sent downstream, the CMO must be sent and the response that is returned must be propagated when it is received from downstream.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A9.3,"• A Manager should not issue a read request that permits it to allocate a line, while there is an outstanding CMO to that line.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A9.5,"On the write channels, CMOs can be sent as a stand-alone operation or combined with a data write.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.5,CMOs on the write channels The rules for AWCMO_WIDTH are: • Must be 0 if CMO_On_Write is False.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.5,• Must be 2 if CMO_On_Write is True and RME_Support is False.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.5,• Must be 3 if CMO_On_Write is True and – RME_Support is True or – Storage_CMO is True.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.5,"When AWSNOOP is not CMO, Write Ptl CMO or Write Full CMO, AWCMO must be 0b000.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.5,This indicates that all caches are Clean and/or invalid within the specified Domain and any associated writes are observable.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,For example: • A write from an I/O agent which must be made visible to observers which are downstream of caches.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,• A write to persistent memory that must ensure that all copies of the line are also cleaned to the point of persistence.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"• A CMO that causes a write back of dirty data, which must be followed by the CMO.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,It is expected that some Managers will natively generate a write with CMO.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"In other cases, a cache or interconnect will combine a CMO with a write before propagating them downstream.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"If the Write_Plus_CMO property is True, the CMO_On_Write property must also be True.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"Table A9.9: Examples of write with CMO transactions Operation Primary use-case Action Shareable Write Ptl CMO with Clean Shared An I/O agent writing less than a cache line to a Shareable region, where the data must be visible to observers downstream of a cache.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,All in-line and peer caches must look up the line and write back any dirty data.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"Shareable Write Full CMO with Clead Shared Persist An I/O agent writing a cache line to a Shareable region, where the data must reach the Point of Persistence.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,The write and Clean Shared Persist must be propagated if there is a Point of Persistence downstream.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.6,All in-line and peer cache entries must be cleaned and invalidated.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.6,The write and Clean Invalid must be propagated if there are observers downstream.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"A Write Full CMO must be cache line sized and Regular, see A8.2 Cache line size and A3.1.8 Regular transactions.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,A Write Ptl CMO must be cache line sized or smaller and not cross a cache line boundary.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"In that case, either: • The write is issued first, followed by the CMO on the write request channel with the same ID as the write.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,• The write is issued first.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"If the discarded CMO is a Clean Shared Persist or Clean Shared Deep Persist, the BCOMP and BPERSIST signals must be set on the write response.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,A write with CI or CS has a single response transfer which indicates that the write and CMO are both observable.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.6,"A write with a CSP or CSDP, has one response that indicates that the write is observable and one response that indicates that the write has reached the Po P / Po DP.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.7,"The response indicates that the CMO is observed, and all cache lines have been cleaned and invalidated if necessary.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.8,"If CMO_On_Write and CMO_On_Read are both False, Persist_CMO must be False.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.8,"If the PCMO is changed to a Clean Shared, the Persist response must be sent by the component doing the transformation.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.8,"The Completion response indicates that all caches are Clean, and any associated writes are observable.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.8,• The Completion response must follow normal response ordering rules.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.8,"• If BCOMP is present on an interface, it must be asserted for one response transfer in all transactions on the write channels.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.8,The Persist response indicates that the data has reached the Po P or Po DP.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.8,"• If BPERSIST is present on an interface, it must be asserted for one transfer of a response to a CSP or CSDP.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.8,It must be deasserted for all other responses.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.8,• The combined response must follow normal response ordering rules.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.8,"In this example, the write is observable to all other agents in the last-level cache, so the Completion response can be sent when the request has been hazarded at that point.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.8,"The Non-volatile Memory sends a combined Completion and Persist response, so the cache must deassert BCOMP when it propagates the response upstream.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A9.8,"Manager Manager Interconnect Interconnect System Cache System Cache Non-volatile Memory Non-volatile Memory Clean Shared Persist (AW) Clean Shared Persist (AW) Clean Shared Persist (AW) OKAY with BCOMP (B) OKAY with BCOMP (B) Cache line is observable long period OKAY with BCOMP & BPERSIST (B) Data is observable and persistent OKAY with BPERSIST (B) Cache must deassert BCOMP OKAY with BPERSIST (B) Cache line is persistent Figure A9.2: Example PCMO transaction A9.8.5 PCMOs on read channels If using read channels to transport cache maintenance operations, only the Clean Shared Persist transaction is supported.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A9.8,Clean Shared Deep Persist can only be used on the write channels.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.8,"There is a single response transfer on the R channel which indicates that the request is observed, and all cache lines have been cleaned to the Po P.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.9,"Table A9.15: Cache lines operated on by a CMO Attribute RME_Support is False RME_Support is True Address Same cache line Same cache line Physical Address Space Same Same Memory attributes Any Ax CACHE Any Ax CACHE Shareability Domain Same Domain Any Domain When acted upon by a Clean Invalid or Clean Shared CMO, data must propagate to a point where it is observable to all agents using the same physical address space as the CMO.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A9.9,"The response to a Clean Invalid Po PA indicates that all cached copies are invalidated, and any Dirty cached copy is written past the Po PA.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A9.9,"When RME_Support is True, the AWCMO signal is extended to 3b to enable the signaling of a Clean Invalid Po PA, encodings are: • 0b000: Clean Invalid • 0b001: Clean Shared • 0b010: Clean Shared Persist • 0b011: Clean Shared Deep Persist • 0b100: Clean Invalid Po PA A Clean Invalid Po PA can be used stand-alone or combined with a write transaction, so can be used with the following values of AWSNOOP: • 0b0110: CMO • 0b1010: Write Ptl CMO • 0b1011: Write Full CMO The CMO_On_Write property must be True to use a Clean Invalid Po PA.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.9,The Write_Plus_CMO property must be True to use a write with Clean Invalid Po PA.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A9.10,Storage_CMO can only be True when CMO_On_Write is True.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A9.11,This process must follow a particular sequence to reliably make the data structures visible as required.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A10.1,• Requests other address spaces must use an NSAID value of zero.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A10.1,"Non-secure Access Identifiers (NSAID) A10.1.2 Caching and NSAID Where caching and system coherency is performed upstream of permission checking, accesses with different NSAID values that pass data between them must be subjected to permission checks.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A10.1,"The rules that are associated with NSAID use and coherency are as follows: • When an agent caches a line of data that has been fetched using a particular NSAID value, it must ensure that any subsequent write to main memory or any response to a snoop uses the same NSAID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A10.1,"– If the NSAID value of the snoop response does not match the read request, then the cache line must first be written to memory using the NSAID value obtained through the snoop response, and then read from memory using the NSAID value of the original request.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A10.1,The write and subsequent read are only required to reach a point at which permission checking has occurred.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A10.1,"• Snoop transactions that invalidate cached copies, such as Make Invalid, must not be used if memory protection is used.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A10.1,"All such snoop transactions must be replaced with transactions that also clean the cache line to main memory, such as Clean Invalid.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A10.1,• Any interconnect-generated write to main memory that occurs as the result of a snoop must use the NSAID value that is obtained from the snoop response.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A10.1,"• If a single Manager can issue transactions with multiple NSAID values, it must ensure that internal accesses to cached copies use the NSAID value that was used to fetch the cache line initially: – An access that has a cache line hit with the same address, but a different NSAID value, must clean and invalidate the cache line before refetching the cache line with the appropriate NSAID value.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A10.4,• The data bus width (DATA_WIDTH) must be 128b or larger.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A10.4,"• Untranslated_Transactions must not be False, because ACT transactions are to virtual addresses.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A10.4,"• For writes, all write strobes within the transaction container must be asserted.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A10.4,"Arm Compression Technology (ACT) • ID is unique-in-flight, which means: – An ACT read request can only be issued if there are no outstanding transactions on the read channels with the same ID.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A10.4,– An ACT write request can only be issued if there are no outstanding transactions on the write channels with the same ID.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A10.4,– A request must not be issued on the read channels with the same ID as an outstanding ACT read request.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A10.4,– A request must not be issued on the write channels with the same ID as an outstanding ACT write request.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.1,"The rules for a Write Zero transaction are: • A Write Zero request indicates that the data at the locations indicated by address, size, and length attributes must be set to zero.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.1,"• A Write Zero transaction is cache line sized and Regular, see A3.1.8 Regular transactions • AWSNOOP must be 0b0111 or 0b00111.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A11.1,• AWTAGOP must be Invalid.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A11.1,"• AWID must be unique-in-flight, which means: – A Write Zero transaction can only be issued if there are no outstanding write transactions using the same AWID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.1,– A Manager must not issue a request on the write channel with the same AWID as an outstanding Write Zero transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.1,"– If present, AWIDUNQ must be asserted for a Write Zero transaction.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,"A11.2.2 Write Deferrable signaling When the Write Deferrable_Transaction property is True, AWSNOOP and BRESP must be wide enough to accommodate additional encodings: • AWSNOOP_WIDTH must be 5.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,"• The ID is unique-in-flight for all transactions, which means: – A Write Deferrable transaction can only be issued if there are no outstanding transactions on the write channels with the same ID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,– A Manager must not issue a request on the write channels with the same ID as an outstanding Write Deferrable transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,"– If present, AWIDUNQ must be asserted for a Write Deferrable transaction.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,"• A Write Deferrable transaction must be treated as 64-byte atomic, therefore: – It must only be to locations which have a single-copy atomicity size of 64-bytes or greater.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A11.2,"If an interconnect detects that a Write Deferrable is targeting a Subordinate that does not support Write Deferrable transactions, it must not propagate the request.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A12.1,"Table A12.4: MPAM_9_1 fields when RME_Support is True Field Description Width Mapping MPAM_SP Physical address space indicator 2 Ax MPAM[1:0] PARTID Partition identifier 9 Ax MPAM[10:2] PMG Performance monitor group 1 Ax MPAM[11] When MPAM_Support is MPAM_12_1 and RME_Support is False, MPAM_WIDTH must be 14 and the mapping is shown in Table A12.5.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A12.1,Manager components Manager components that are MPAM-enabled must drive MPAM signals when the corresponding Ax VALID is asserted.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
